Time: 856.0265751767454, Pitch: 17.273384708280602
Time: 418.8892554920773, Pitch: 9.0604054860814
Time: 409.56071662738276, Pitch: 8.491205954132916
Time: 96.0, Pitch: 0.6900000000000048
Time: 70.0, Pitch: -0.05799999999999983
Time: 31.10975182331657, Pitch: -1.2035549339361822
Time: 31.09831575398124, Pitch: -1.089503014454877
Time: 31.086879684645908, Pitch: -0.9754510949735788
Time: 31.075443615310576, Pitch: -0.8613991754922736
Time: 31.052571476639855, Pitch: -0.6332953365296703
Time: 31.04113540730458, Pitch: -0.5192434170483722
Time: 31.01826326863386, Pitch: -0.29113957808576885
Time: 30.93048698030583, Pitch: -0.08049966192536573
Time: 30.689636567444722, Pitch: 0.0182490073476842
Time: 30.1413567328824, Pitch: 0.2430437395182139
Time: 29.376103127302656, Pitch: 0.5692756552598581
Time: 29.0, Pitch: 0.7310000000000016
Time: 34.99999999999994, Pitch: -0.7659999999999982
Time: 35.02219089400597, Pitch: -0.8644609967046435
Time: 35.02190249165545, Pitch: -0.863181355475497
Time: 35.02161408930499, Pitch: -0.8619017142463505
Time: 34.99999999999994, Pitch: -0.7659999999999982
Time: 31.063950454683436, Pitch: -0.7467778845577797
Time: 25.207394787065994, Pitch: -0.7273731468454798
Time: 25.70056793476101, Pitch: -0.6188750543525714
Time: 27.05096351605124, Pitch: -0.5195760529374382
Time: 27.30690194793624, Pitch: -0.40696314290804736
Time: 28.043106103577657, Pitch: -0.0660926157197892
Time: 28.179539206204993, Pitch: 0.04755615876882757
Time: 28.324126739853284, Pitch: 0.16799757429775752
Time: 30.348917641323396, Pitch: 0.15794376705738955
Time: 29.869267895923144, Pitch: 0.3572148047530348
Time: 29.637837929213106, Pitch: 0.456729690438344
Time: 29.0, Pitch: 0.7310000000000016
Time: 29.11436832539215, Pitch: 0.6818216200813652
Time: 30.689636567444722, Pitch: 0.0182490073476842
Time: 31.006941381882143, Pitch: -0.17822640151086233
Time: 31.006884290590335, Pitch: -0.17765703005766653
Time: 31.029699337969248, Pitch: -0.40519149756706696
Time: 27.30690194793624, Pitch: -0.40696314290804736
Time: 20.567095881820478, Pitch: -0.4417527934639125
Time: 14.451496844889391, Pitch: -0.46977964829019925
Time: 10.999999999999943, Pitch: -0.42199999999999704
Time: 5.555175346602823, Pitch: -0.30793925666449695
Time: 15.832286103119657, Pitch: -0.34579023983187085
Time: 20.0, Pitch: -0.3719999999999928
Time: 27.53388016777427, Pitch: -0.30709272617929173
Time: 27.562840379821182, Pitch: -0.29435023287864936
Time: 31.029699337969248, Pitch: -0.40519149756706696
Time: 31.041192498596388, Pitch: -0.519812788501568
Time: 34.99999999999994, Pitch: -0.7659999999999982
Time: 31.01843454250934, Pitch: -0.29284769244536335
Time: 29.92987756632408, Pitch: 0.3311526464806178
Time: 29.66814276441363, Pitch: 0.44369861130213195
Time: 419.3994189285383, Pitch: 4.955742928104016
Time: 1581.6506865860931, Pitch: -0.9628528161729264
Time: 1581.5454790753622, Pitch: -0.7402337234660621
Time: 1581.5467466123464, Pitch: -0.7429158317247158
Time: 1581.4928753199968, Pitch: -0.6289241771126299
Time: 1583.4979668083101, Pitch: -0.40214705042447463
Time: 1588.0, Pitch: 0.0
Time: 1588.07842909804, Pitch: 0.16666183333516926
Time: 1588.1320724805075, Pitch: 0.28065402107848314
Time: 1588.1857158629748, Pitch: 0.3946462088218041
Time: 1588.2393592454425, Pitch: 0.508638396565118
Time: 1587.701476039608, Pitch: 0.7361600863270965
Time: 1584.4895210179372, Pitch: 0.735985104277951
Time: 1580.1433560832354, Pitch: 1.0701892402416888
Time: 1580.0, Pitch: 1.1799999999999997
Time: 1574.104859368715, Pitch: 1.4165575070393004
Time: 1574.007743519241, Pitch: 1.5253272584500195
Time: 1585.3551824905824, Pitch: 1.630348765596871
Time: 1585.8408791135353, Pitch: 1.9863643902214037
Time: 1589.0, Pitch: 2.125
Time: 1589.539490044178, Pitch: 1.9922854491322326
Time: 1588.8830798350518, Pitch: 1.8765446494848987
Time: 1584.852582534244, Pitch: 1.1869075075307265
Time: 1578.5829555163132, Pitch: 0.6180516460644085
Time: 1575.0, Pitch: 0.4140000000000015
Time: 1567.0116205610568, Pitch: 0.1663551652863262
