latitude,longitude,heading,velocity,pwml_chk,pwmr_chk,time_difference
37.63319238,127.07763917,111.2,0.0,1501,1499,0.0
37.63319237,127.07763917,111.2,0.0,1501,1499,0.2
37.63319236,127.07763915,111.1,0.0,1528,1571,0.2
37.63319236,127.07763914,111.1,0.0,1528,1571,0.2
37.63319236,127.07763914,111.1,0.0,1528,1571,0.0
37.63319236,127.07763914,111.1,0.0,1528,1571,0.4
37.63319236,127.07763915,111.2,0.0,1528,1571,0.2
37.63319235,127.07763918,111.1,0.0,1528,1571,0.2
37.63319236,127.07763916,111.2,0.0,1528,1571,0.2
37.63319236,127.07763918,111.2,0.0,1528,1571,0.4
37.63319237,127.07763919,111.2,0.0,1528,1571,0.2
37.63319236,127.07763919,111.2,0.0,1528,1571,0.2
37.63319237,127.07763921,111.2,0.0,1528,1571,0.2
37.63319237,127.0776392,111.2,0.0,1528,1571,0.2
37.63319238,127.07763919,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.0
37.63319238,127.07763917,111.2,0.0,1528,1571,0.2
37.63319239,127.07763917,111.2,0.0,1528,1571,0.2
37.63319238,127.07763917,111.2,0.0,1528,1571,0.2
37.63319238,127.07763916,111.2,0.0,1528,1571,0.2
37.63319238,127.07763916,111.2,0.0,1528,1571,0.4
37.63319237,127.07763917,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.0
37.63319237,127.07763919,111.2,0.0,1528,1571,0.2
37.63319236,127.07763917,111.2,0.0,1528,1571,0.4
37.63319236,127.07763916,111.2,0.0,1528,1571,0.2
37.63319236,127.07763917,111.3,0.0,1528,1571,0.2
37.63319235,127.07763918,111.2,0.0,1528,1571,0.2
37.63319235,127.07763918,111.2,0.0,1528,1571,0.0
37.63319234,127.07763915,111.3,0.0,1528,1571,0.4
37.63319233,127.07763916,111.2,0.0,1528,1571,0.2
37.63319234,127.07763916,111.2,0.0,1528,1571,0.2
37.63319234,127.07763915,111.2,0.0,1528,1571,0.2
37.63319236,127.07763915,111.2,0.0,1528,1571,0.2
37.63319236,127.07763915,111.2,0.0,1528,1571,0.2
37.63319237,127.07763916,111.2,0.0,1528,1571,0.2
37.63319236,127.07763918,111.2,0.0,1528,1571,0.2
37.63319236,127.07763917,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.2
37.63319238,127.07763918,111.2,0.0,1528,1571,0.0
37.63319236,127.07763918,111.1,0.0,1528,1571,0.4
37.63319237,127.07763915,111.2,0.0,1528,1571,0.2
37.63319235,127.07763917,111.0,0.0,1528,1571,0.2
37.63319235,127.07763918,111.1,0.0,1528,1571,0.2
37.63319234,127.07763919,111.1,0.0,1528,1571,0.2
37.63319232,127.07763914,111.1,0.0,1529,1570,0.2
37.63319233,127.07763917,111.2,0.0,1528,1571,0.2
37.63319232,127.07763915,111.1,0.0,1528,1571,0.2
37.63319234,127.07763912,111.2,0.0,1528,1571,0.4
37.63319234,127.07763912,111.2,0.0,1528,1571,0.0
37.63319236,127.07763912,111.3,0.0,1528,1571,0.2
37.63319235,127.07763913,111.3,0.0,1528,1571,0.2
37.63319232,127.07763917,111.3,0.0,1528,1571,0.4
37.63319232,127.07763918,111.3,0.0,1528,1571,0.2
37.63319232,127.07763919,111.3,0.0,1528,1571,0.2
37.63319232,127.07763919,111.3,0.0,1528,1571,0.0
37.63319232,127.07763919,111.3,0.0,1528,1571,0.2
37.63319234,127.07763918,111.3,0.0,1528,1571,0.2
37.63319233,127.07763918,111.3,0.0,1528,1571,0.2
37.63319234,127.07763914,111.2,0.0,1528,1571,0.4
37.63319236,127.07763921,111.3,0.0,1528,1571,0.2
37.63319235,127.07763923,111.4,0.1,1528,1571,0.2
37.63319237,127.07763915,111.4,0.1,1528,1571,0.2
37.63319236,127.07763917,111.4,0.0,1528,1571,0.2
37.63319236,127.07763917,111.4,0.0,1528,1571,0.2
37.63319235,127.07763924,111.4,0.0,1528,1571,0.2
37.63319235,127.07763924,111.4,0.0,1528,1571,0.0
37.63319236,127.07763922,111.4,0.0,1528,1571,0.2
37.63319236,127.07763915,111.3,0.1,1528,1571,0.4
37.63319228,127.07763916,111.0,0.1,1528,1571,0.2
37.63319232,127.07763919,111.0,0.1,1528,1571,0.2
37.63319234,127.07763916,111.1,0.0,1528,1571,0.2
37.63319234,127.07763915,111.1,0.0,1528,1571,0.2
37.63319232,127.07763922,111.2,0.0,1528,1571,0.2
37.63319232,127.07763922,111.2,0.0,1528,1571,0.0
37.63319234,127.07763916,111.2,0.1,1528,1571,0.2
37.6331923,127.07763913,111.1,0.0,1528,1571,0.4
37.6331923,127.07763913,111.2,0.1,1528,1571,0.2
37.63319235,127.07763909,111.3,0.0,1528,1571,0.2
37.63319233,127.07763911,111.3,0.0,1528,1571,0.2
37.63319233,127.07763911,111.3,0.0,1528,1571,0.0
37.63319227,127.07763902,110.8,0.1,1528,1571,0.4
37.63319221,127.07763926,110.8,0.1,1528,1571,0.2
37.63319222,127.07763916,110.8,0.2,1529,1570,0.2
37.63319217,127.07763927,110.5,0.1,1529,1570,0.2
37.63319219,127.07763939,110.8,0.1,1529,1570,0.2
37.63319215,127.07763944,110.5,0.0,1529,1570,0.2
37.63319215,127.07763944,110.5,0.0,1529,1570,0.0
37.63319203,127.07763961,110.0,0.2,1529,1570,0.4
37.63319169,127.07763971,106.9,0.4,1529,1570,0.2
37.63319126,127.07763963,103.7,0.5,1529,1570,0.2
37.63319099,127.07763967,101.5,0.2,1529,1570,0.2
37.63319081,127.07763963,100.1,0.1,1530,1569,0.2
