{'latitude': 37.63319237, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1501, 'pwmr_chk': 1499, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763915, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763914, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763914, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319236, 'longitude': 127.07763914, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319236, 'longitude': 127.07763915, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763918, 'heading': 111.1, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319237, 'longitude': 127.07763919, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763919, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319237, 'longitude': 127.07763921, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319237, 'longitude': 127.0776392, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763919, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319238, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319239, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319237, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319238, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319237, 'longitude': 127.07763919, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763917, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319236, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763917, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319235, 'longitude': 127.07763918, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.0}
{'latitude': 37.63319234, 'longitude': 127.07763915, 'heading': 111.3, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.4}
{'latitude': 37.63319233, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763916, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319234, 'longitude': 127.07763915, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
{'latitude': 37.63319236, 'longitude': 127.07763915, 'heading': 111.2, 'velocity': 0.0, 'pwml_chk': 1528, 'pwmr_chk': 1571, 'time_difference': 0.2}
