11:54:56 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1500, 'pwmr_auto': 1500, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': None, 'waypoint_latitude': None, 'waypoint_longitude': None, 'velocity': 0.1, 'heading': 104.7, 'roll': None, 'pitch': 2.9, 'validity': 'A', 'time': '025456.60', 'IP': None, 'date': '090424', 'longitude': 127.07766039, 'latitude': 37.63322468, 'arrived': False, 'flag_autodrive': False}
11:54:57 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1535, 'pwmr_auto': 1614, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.614520398870244, 'waypoint_latitude': 37.633221725797284, 'waypoint_longitude': 127.07779196006686, 'velocity': 0.1, 'heading': 104.9, 'roll': None, 'pitch': 2.8, 'validity': 'A', 'time': '025456.80', 'IP': None, 'date': '090424', 'longitude': 127.07766046, 'latitude': 37.63322473, 'arrived': False, 'flag_autodrive': True}
11:54:57 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1534, 'pwmr_auto': 1615, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.609534096805863, 'waypoint_latitude': 37.63322191840207, 'waypoint_longitude': 127.07779123720029, 'velocity': 0.0, 'heading': 105.0, 'roll': None, 'pitch': 3.0, 'validity': 'A', 'time': '025457.00', 'IP': None, 'date': '090424', 'longitude': 127.0776605, 'latitude': 37.63322478, 'arrived': False, 'flag_autodrive': True}
11:54:57 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1534, 'pwmr_auto': 1615, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.60714385625843, 'waypoint_latitude': 37.633221166001775, 'waypoint_longitude': 127.07779123979232, 'velocity': 0.1, 'heading': 105.6, 'roll': None, 'pitch': 3.2, 'validity': 'A', 'time': '025457.40', 'IP': None, 'date': '090424', 'longitude': 127.07766059, 'latitude': 37.63322488, 'arrived': False, 'flag_autodrive': True}
11:54:57 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1530, 'pwmr_auto': 1619, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.601508302892316, 'waypoint_latitude': 37.633221103055014, 'waypoint_longitude': 127.07779137759005, 'velocity': 0.2, 'heading': 104.5, 'roll': None, 'pitch': 2.1, 'validity': 'A', 'time': '025457.60', 'IP': None, 'date': '090424', 'longitude': 127.07766058, 'latitude': 37.63322479, 'arrived': False, 'flag_autodrive': True}
11:54:57 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1537, 'pwmr_auto': 1612, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.600444155751514, 'waypoint_latitude': 37.63322142370108, 'waypoint_longitude': 127.07779155948582, 'velocity': 0.3, 'heading': 102.3, 'roll': None, 'pitch': 1.0, 'validity': 'A', 'time': '025457.80', 'IP': None, 'date': '090424', 'longitude': 127.07766043, 'latitude': 37.63322458, 'arrived': False, 'flag_autodrive': True}
11:54:58 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1551, 'pwmr_auto': 1598, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.60894210923933, 'waypoint_latitude': 37.633221980472435, 'waypoint_longitude': 127.07779395410488, 'velocity': 0.3, 'heading': 102.3, 'roll': None, 'pitch': 1.0, 'validity': 'A', 'time': '025457.80', 'IP': None, 'date': '090424', 'longitude': 127.07766043, 'latitude': 37.63322458, 'arrived': False, 'flag_autodrive': True}
11:54:58 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1551, 'pwmr_auto': 1598, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.60894210923933, 'waypoint_latitude': 37.63322312449168, 'waypoint_longitude': 127.07779482916791, 'velocity': 0.3, 'heading': 98.0, 'roll': None, 'pitch': 3.3, 'validity': 'A', 'time': '025458.20', 'IP': None, 'date': '090424', 'longitude': 127.07765993, 'latitude': 37.63322416, 'arrived': False, 'flag_autodrive': True}
11:54:58 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1578, 'pwmr_auto': 1571, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.643395667225757, 'waypoint_latitude': 37.63322341418611, 'waypoint_longitude': 127.07779766497201, 'velocity': 0.6, 'heading': 94.9, 'roll': None, 'pitch': 1.1, 'validity': 'A', 'time': '025458.40', 'IP': None, 'date': '090424', 'longitude': 127.07765957, 'latitude': 37.6332238, 'arrived': False, 'flag_autodrive': True}
11:54:58 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1597, 'pwmr_auto': 1552, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.667174574205527, 'waypoint_latitude': 37.63322267171152, 'waypoint_longitude': 127.0777994115793, 'velocity': 0.5, 'heading': 91.9, 'roll': None, 'pitch': 0.4, 'validity': 'A', 'time': '025458.60', 'IP': None, 'date': '090424', 'longitude': 127.07765922, 'latitude': 37.63322342, 'arrived': False, 'flag_autodrive': True}
11:54:59 : {'dest_latitude': [37.633203, 37.633255, 37.633385, 37.633396, 37.633347, 37.633261, 37.633203], 'dest_longitude': [127.077801, 127.078011, 127.077983, 127.077886, 127.077789, 127.077724, 127.077801], 'mode_pc_command': 'AUTO', 'com_status_send': False, 'com_status_recv': False, 'coeff_kf': 2.5, 'coeff_kd': 30, 'voxel_size': 0.035, 'intensity': 5, 'dbscan_eps': 0.301, 'dbscan_minpoints': 5, 'coeff_vff_repulsive_force': 0.77, 'mode_chk': 1000, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'pwml_auto': 1616, 'pwmr_auto': 1533, 'pwml_sim': None, 'pwmr_sim': None, 'cnt_destination': 0, 'distance': 12.689849910021136, 'waypoint_latitude': 37.633224645260455, 'waypoint_longitude': 127.07780144528682, 'velocity': 0.4, 'heading': 89.6, 'roll': None, 'pitch': 0.5, 'validity': 'A', 'time': '025458.80', 'IP': None, 'date': '090424', 'longitude': 127.0776589, 'latitude': 37.63322311, 'arrived': False, 'flag_autodrive': True}
