{'latitude': 37.63322473, 'longitude': 127.07766046, 'heading': 104.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0}
{'latitude': 37.63322478, 'longitude': 127.0776605, 'heading': 105.0, 'velocity': 0.0, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322488, 'longitude': 127.07766059, 'heading': 105.6, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.63322479, 'longitude': 127.07766058, 'heading': 104.5, 'velocity': 0.2, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322458, 'longitude': 127.07766043, 'heading': 102.3, 'velocity': 0.3, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322458, 'longitude': 127.07766043, 'heading': 102.3, 'velocity': 0.3, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322416, 'longitude': 127.07765993, 'heading': 98.0, 'velocity': 0.3, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.6332238, 'longitude': 127.07765957, 'heading': 94.9, 'velocity': 0.6, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322342, 'longitude': 127.07765922, 'heading': 91.9, 'velocity': 0.5, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322311, 'longitude': 127.0776589, 'heading': 89.6, 'velocity': 0.4, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322296, 'longitude': 127.07765876, 'heading': 88.9, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322294, 'longitude': 127.07765909, 'heading': 89.6, 'velocity': 0.5, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322294, 'longitude': 127.07765909, 'heading': 89.6, 'velocity': 0.5, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.0}
{'latitude': 37.63322301, 'longitude': 127.07765953, 'heading': 90.5, 'velocity': 0.6, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322314, 'longitude': 127.07765996, 'heading': 93.0, 'velocity': 0.3, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.4}
{'latitude': 37.63322315, 'longitude': 127.0776598, 'heading': 94.4, 'velocity': 0.2, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 40.2}
{'latitude': 37.633223, 'longitude': 127.07765978, 'heading': 95.1, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
{'latitude': 37.63322289, 'longitude': 127.07765971, 'heading': 95.3, 'velocity': 0.1, 'pwml_chk': 1500, 'pwmr_chk': 1500, 'time_difference': 0.2}
